Date,EUR,CHF,CNY,GBP,JPY,G-coin
01/11/1995,1.3,1.14,8.31,0.63,103.22,0.999999333
02/11/1995,1.29,1.15,8.31,0.63,104.05,0.999998665
03/11/1995,1.29,1.14,8.31,0.63,103.85,0.999997998
04/11/1995,1.29,1.14,8.31,0.63,103.85,0.99999733
05/11/1995,1.29,1.14,8.31,0.63,103.85,0.999996663
06/11/1995,1.3,1.14,8.31,0.63,103.35,0.999995995
07/11/1995,1.3,1.14,8.31,0.63,103,0.999995328
08/11/1995,1.29,1.15,8.31,0.63,102.58,0.99999466
09/11/1995,1.3,1.14,8.31,0.63,100.42,0.999993993
10/11/1995,1.29,1.14,8.31,0.63,100.85,0.999993325
11/11/1995,1.29,1.14,8.31,0.63,100.85,0.999992658
12/11/1995,1.29,1.14,8.31,0.63,100.85,0.999991991
13/11/1995,1.29,1.14,8.31,0.64,101.82,0.999991323
14/11/1995,1.3,1.14,8.31,0.64,101.68,0.999990656
15/11/1995,1.3,1.14,8.31,0.64,101.48,0.999989988
16/11/1995,1.3,1.14,8.31,0.64,102.06,0.999989321
17/11/1995,1.31,1.14,8.31,0.64,102.15,0.999988653
18/11/1995,1.31,1.14,8.31,0.64,102.15,0.999987986
19/11/1995,1.31,1.14,8.31,0.64,102.15,0.999987318
20/11/1995,1.3,1.14,8.31,0.65,101.18,0.999986651
21/11/1995,1.3,1.14,8.31,0.64,101.53,0.999985983
22/11/1995,1.3,1.14,8.31,0.64,100.9,0.999985316
23/11/1995,1.3,1.14,8.31,0.64,100.71,0.999984649
24/11/1995,1.3,1.15,8.31,0.64,101.5,0.999983981
25/11/1995,1.3,1.15,8.31,0.64,101.5,0.999983314
26/11/1995,1.3,1.15,8.31,0.64,101.5,0.999982646
27/11/1995,1.29,1.16,8.31,0.64,101.73,0.999981979
28/11/1995,1.29,1.16,8.31,0.65,101.22,0.999981311
29/11/1995,1.29,1.17,8.31,0.65,101.55,0.999980644
30/11/1995,1.28,1.18,8.31,0.65,102.18,0.999979976
01/12/1995,1.28,1.18,8.31,0.65,101.15,0.999979309
02/12/1995,1.28,1.18,8.31,0.65,101.15,0.999978641
03/12/1995,1.28,1.18,8.31,0.65,101.15,0.999977974
04/12/1995,1.28,1.17,8.31,0.65,101.31,0.999977307
05/12/1995,1.29,1.17,8.31,0.65,101.3,0.999976639
06/12/1995,1.28,1.17,8.31,0.65,101.56,0.999975972
07/12/1995,1.27,1.17,8.31,0.65,101.43,0.999975304
08/12/1995,1.27,1.17,8.31,0.65,101.23,0.999974637
09/12/1995,1.27,1.17,8.31,0.65,101.23,0.999973969
10/12/1995,1.27,1.17,8.31,0.65,101.23,0.999973302
11/12/1995,1.27,1.17,8.31,0.65,101.12,0.999972634
12/12/1995,1.27,1.17,8.31,0.65,101.81,0.999971967
13/12/1995,1.26,1.18,8.31,0.65,101.68,0.999971299
14/12/1995,1.27,1.16,8.32,0.65,101.55,0.999970632
15/12/1995,1.27,1.16,8.32,0.65,102.05,0.999969965
16/12/1995,1.27,1.16,8.32,0.65,102.05,0.999969297
17/12/1995,1.27,1.16,8.32,0.65,102.05,0.99996863
18/12/1995,1.28,1.15,8.32,0.65,101.46,0.999967962
19/12/1995,1.27,1.16,8.32,0.65,101.97,0.999967295
20/12/1995,1.28,1.15,8.32,0.65,101.75,0.999966627
21/12/1995,1.28,1.16,8.32,0.65,101.83,0.99996596
22/12/1995,1.28,1.16,8.32,0.65,102.29,0.999965292
23/12/1995,1.28,1.16,8.32,0.65,102.29,0.999964625
24/12/1995,1.28,1.16,8.32,0.65,102.29,0.999963957
25/12/1995,1.28,1.16,8.32,0.65,102.45,0.99996329
26/12/1995,1.28,1.15,8.32,0.65,102.32,0.999962622
27/12/1995,1.28,1.16,8.32,0.64,102.86,0.999961955
28/12/1995,1.28,1.16,8.32,0.64,102.7,0.999961288
29/12/1995,1.28,1.15,8.32,0.65,103.4,0.99996062
30/12/1995,1.28,1.15,8.32,0.65,103.4,0.999959953
31/12/1995,1.28,1.15,8.32,0.65,103.4,0.999959285
01/01/1996,1.28,1.15,8.32,0.65,103.4,0.999958618
02/01/1996,1.28,1.16,8.32,0.64,103.94,0.99995795
03/01/1996,1.27,1.17,8.32,0.64,104.9,0.999957283
04/01/1996,1.28,1.16,8.32,0.65,105.29,0.999956615
05/01/1996,1.28,1.16,8.32,0.64,105.41,0.999955948
06/01/1996,1.28,1.16,8.32,0.64,105.41,0.99995528
07/01/1996,1.28,1.16,8.32,0.64,105.41,0.999954613
08/01/1996,1.29,1.16,8.32,0.64,105.18,0.999953946
09/01/1996,1.29,1.16,8.32,0.65,104.43,0.999953278
10/01/1996,1.29,1.16,8.32,0.65,104.82,0.999952611
11/01/1996,1.29,1.16,8.32,0.65,104.82,0.999951943
12/01/1996,1.28,1.16,8.32,0.65,105.25,0.999951276
13/01/1996,1.28,1.16,8.32,0.65,105.25,0.999950608
14/01/1996,1.28,1.16,8.32,0.65,105.25,0.999949941
15/01/1996,1.28,1.17,8.32,0.65,105.28,0.999949273
16/01/1996,1.26,1.18,8.32,0.65,105.98,0.999948606
17/01/1996,1.26,1.19,8.32,0.66,105.72,0.999947938
18/01/1996,1.25,1.19,8.32,0.66,105.57,0.999947271
19/01/1996,1.25,1.19,8.32,0.66,105.34,0.999946604
20/01/1996,1.25,1.19,8.32,0.66,105.34,0.999945936
21/01/1996,1.25,1.19,8.32,0.66,105.34,0.999945269
22/01/1996,1.25,1.18,8.32,0.66,105.75,0.999944601
23/01/1996,1.24,1.19,8.32,0.66,105.87,0.999943934
24/01/1996,1.24,1.19,8.32,0.66,107,0.999943266
25/01/1996,1.23,1.2,8.32,0.66,106.91,0.999942599
26/01/1996,1.23,1.21,8.32,0.67,106.65,0.999941931
27/01/1996,1.23,1.21,8.32,0.67,106.65,0.999941264
28/01/1996,1.23,1.21,8.32,0.67,106.65,0.999940596
29/01/1996,1.23,1.21,8.32,0.66,106.78,0.999939929
30/01/1996,1.23,1.22,8.31,0.66,107.25,0.999939262
31/01/1996,1.23,1.21,8.31,0.66,107.1,0.999938594
01/02/1996,1.24,1.21,8.31,0.66,106.73,0.999937927
02/02/1996,1.24,1.21,8.31,0.66,106.45,1.000239806
03/02/1996,1.24,1.21,8.31,0.66,106.45,1.000541685
04/02/1996,1.24,1.21,8.31,0.66,106.45,1.000843565
05/02/1996,1.25,1.2,8.31,0.65,105.22,1.001145444
06/02/1996,1.25,1.2,8.31,0.65,105.15,1.001447324
07/02/1996,1.24,1.21,8.31,0.65,106.09,1.001749203
08/02/1996,1.24,1.2,8.31,0.65,107.07,1.002051083
09/02/1996,1.24,1.21,8.31,0.65,107.03,1.002352962
10/02/1996,1.24,1.21,8.31,0.65,107.03,1.002654842
11/02/1996,1.24,1.21,8.31,0.65,107.03,1.002956721
12/02/1996,1.25,1.21,8.31,0.65,106.87,1.0032586
13/02/1996,1.25,1.2,8.31,0.65,106.78,1.00356048
14/02/1996,1.25,1.2,8.31,0.65,106.27,1.003862359
15/02/1996,1.25,1.2,8.31,0.65,105.53,1.004164239
16/02/1996,1.26,1.18,8.31,0.65,105.2,1.004466118
17/02/1996,1.26,1.18,8.31,0.65,105.2,1.004767998
18/02/1996,1.26,1.18,8.31,0.65,105.2,1.005069877
19/02/1996,1.27,1.18,8.32,0.65,104.06,1.005371756
20/02/1996,1.27,1.18,8.32,0.65,105.65,1.005673636
21/02/1996,1.27,1.18,8.32,0.65,104.9,1.005975515
22/02/1996,1.27,1.18,8.32,0.65,105.03,1.006277395
23/02/1996,1.27,1.18,8.32,0.65,104.85,1.006579274
24/02/1996,1.27,1.18,8.32,0.65,104.85,1.006881154
25/02/1996,1.27,1.18,8.32,0.65,104.85,1.007183033
26/02/1996,1.27,1.18,8.32,0.65,104.34,1.007484912
27/02/1996,1.27,1.18,8.32,0.65,104.34,1.007786792
28/02/1996,1.26,1.2,8.32,0.65,104.59,1.008088671
29/02/1996,1.26,1.2,8.32,0.65,105.28,1.008390551
01/03/1996,1.25,1.2,8.32,0.65,105.35,1.00869243
02/03/1996,1.25,1.2,8.32,0.65,105.35,1.00899431
03/03/1996,1.25,1.2,8.32,0.65,105.35,1.009296189
04/03/1996,1.26,1.2,8.32,0.65,105.3,1.009598069
05/03/1996,1.26,1.2,8.32,0.65,105.23,1.009899948
06/03/1996,1.26,1.2,8.32,0.65,105.43,1.010201827
07/03/1996,1.26,1.2,8.32,0.65,105.35,1.010503707
08/03/1996,1.25,1.2,8.32,0.66,105.75,1.010805586
09/03/1996,1.25,1.2,8.32,0.66,105.75,1.011107466
10/03/1996,1.25,1.2,8.32,0.66,105.75,1.011409345
11/03/1996,1.25,1.2,8.33,0.66,105.44,1.011711225
12/03/1996,1.26,1.19,8.33,0.66,105.3,1.012013104
13/03/1996,1.26,1.19,8.33,0.66,105.15,1.012314983
14/03/1996,1.26,1.19,8.33,0.66,105.56,1.012616863
15/03/1996,1.26,1.19,8.33,0.66,105.8,1.012918742
16/03/1996,1.26,1.19,8.33,0.66,105.8,1.013220622
17/03/1996,1.26,1.19,8.33,0.66,105.8,1.013522501
18/03/1996,1.25,1.19,8.33,0.65,106.09,1.013824381
19/03/1996,1.26,1.19,8.33,0.65,106.16,1.01412626
20/03/1996,1.26,1.19,8.33,0.65,106.43,1.01442814
21/03/1996,1.25,1.2,8.33,0.65,106.85,1.014730019
22/03/1996,1.25,1.19,8.33,0.65,106.85,1.015031898
23/03/1996,1.25,1.19,8.33,0.65,106.85,1.015333778
24/03/1996,1.25,1.19,8.33,0.65,106.85,1.015635657
25/03/1996,1.26,1.19,8.33,0.66,106.17,1.015937537
26/03/1996,1.26,1.19,8.33,0.66,106.44,1.016239416
27/03/1996,1.25,1.2,8.33,0.66,106.61,1.016541296
28/03/1996,1.26,1.19,8.34,0.66,106.25,1.016843175
29/03/1996,1.26,1.19,8.33,0.66,107.19,1.017145054
30/03/1996,1.26,1.19,8.33,0.66,107.19,1.017446934
31/03/1996,1.26,1.19,8.33,0.66,107.19,1.017748813
01/04/1996,1.25,1.2,8.33,0.66,107.62,1.018050693
02/04/1996,1.26,1.2,8.33,0.66,107.57,1.018352572
03/04/1996,1.25,1.2,8.33,0.66,106.98,1.018654452
04/04/1996,1.26,1.19,8.33,0.65,107.04,1.018956331
05/04/1996,1.25,1.19,8.33,0.65,107.66,1.01925821
06/04/1996,1.25,1.19,8.33,0.65,107.66,1.01956009
07/04/1996,1.25,1.19,8.33,0.65,107.66,1.019861969
08/04/1996,1.26,1.2,8.33,0.65,107.75,1.020163849
09/04/1996,1.25,1.21,8.33,0.66,108.33,1.020465728
10/04/1996,1.25,1.22,8.33,0.66,108.37,1.020767608
11/04/1996,1.24,1.22,8.33,0.66,108.59,1.021069487
12/04/1996,1.24,1.23,8.33,0.66,108.67,1.021371367
13/04/1996,1.24,1.23,8.33,0.66,108.67,1.021673246
14/04/1996,1.24,1.23,8.33,0.66,108.67,1.021975125
15/04/1996,1.24,1.23,8.33,0.66,108.53,1.022277005
16/04/1996,1.24,1.23,8.33,0.66,108.15,1.022578884
17/04/1996,1.24,1.23,8.33,0.66,108.18,1.022880764
18/04/1996,1.24,1.22,8.33,0.66,106.72,1.023182643
19/04/1996,1.24,1.23,8.33,0.66,107.35,1.023484523
20/04/1996,1.24,1.23,8.33,0.66,107.35,1.023786402
21/04/1996,1.24,1.23,8.33,0.66,107.35,1.024088281
22/04/1996,1.24,1.23,8.33,0.66,106.72,1.024390161
23/04/1996,1.24,1.23,8.33,0.66,106.75,1.02469204
24/04/1996,1.24,1.23,8.33,0.66,106.55,1.02499392
25/04/1996,1.23,1.24,8.33,0.66,106.75,1.025295799
26/04/1996,1.23,1.23,8.33,0.66,105.45,1.025597679
27/04/1996,1.23,1.23,8.33,0.66,105.45,1.025899558
28/04/1996,1.23,1.23,8.33,0.66,105.45,1.026201438
29/04/1996,1.23,1.24,8.33,0.66,104.88,1.026503317
30/04/1996,1.23,1.24,8.33,0.67,105.05,1.026805196
01/05/1996,1.22,1.25,8.33,0.67,105.35,1.027107076
02/05/1996,1.23,1.25,8.33,0.67,104.34,1.027408955
03/05/1996,1.23,1.24,8.33,0.66,105.05,1.027710835
04/05/1996,1.23,1.24,8.33,0.66,105.05,1.028012714
05/05/1996,1.23,1.24,8.33,0.66,105.05,1.028001387
06/05/1996,1.23,1.24,8.33,0.66,104.95,1.027990059
07/05/1996,1.23,1.25,8.33,0.66,105.25,1.027978731
08/05/1996,1.24,1.24,8.33,0.66,105.15,1.027967404
09/05/1996,1.23,1.24,8.33,0.66,104.55,1.027956076
